2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","177","Ryan","0","ABSENT","1","1","36016","POLLARD","Kathryn","UAPP","United Australia Party","N","Transfer Count","2"
"QLD","177","Ryan","0","ABSENT","1","1","36016","POLLARD","Kathryn","UAPP","United Australia Party","N","Transfer Percent","11.110"
"QLD","177","Ryan","0","ABSENT","1","2","37291","COORY","Damian Peter","LDP","Liberal Democratic Party","N","Preference Count","157"
"QLD","177","Ryan","0","ABSENT","1","2","37291","COORY","Damian Peter","LDP","Liberal Democratic Party","N","Preference Percent","4.180"
"QLD","177","Ryan","0","ABSENT","1","2","37291","COORY","Damian Peter","LDP","Liberal Democratic Party","N","Transfer Count","1"
"QLD","177","Ryan","0","ABSENT","1","2","37291","COORY","Damian Peter","LDP","Liberal Democratic Party","N","Transfer Percent","5.560"
"QLD","177","Ryan","0","ABSENT","1","3","37580","REES","Janine Lorraine","AUP","Australian Progressives","N","Preference Count","22"
"QLD","177","Ryan","0","ABSENT","1","3","37580","REES","Janine Lorraine","AUP","Australian Progressives","N","Preference Percent","0.590"
"QLD","177","Ryan","0","ABSENT","1","3","37580","REES","Janine Lorraine","AUP","Australian Progressives","N","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","1","3","37580","REES","Janine Lorraine","AUP","Australian Progressives","N","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","1","4","38236","LOVE","Joel Mathew","ON","Pauline Hanson's One Nation","N","Preference Count","148"
"QLD","177","Ryan","0","ABSENT","1","4","38236","LOVE","Joel Mathew","ON","Pauline Hanson's One Nation","N","Preference Percent","3.940"
"QLD","177","Ryan","0","ABSENT","1","4","38236","LOVE","Joel Mathew","ON","Pauline Hanson's One Nation","N","Transfer Count","3"
"QLD","177","Ryan","0","ABSENT","1","4","38236","LOVE","Joel Mathew","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.670"
"QLD","177","Ryan","0","ABSENT","1","5","37202","LIPMAN","Jina Anjali","AJP","Animal Justice Party","N","Preference Count","77"
"QLD","177","Ryan","0","ABSENT","1","5","37202","LIPMAN","Jina Anjali","AJP","Animal Justice Party","N","Preference Percent","2.050"
"QLD","177","Ryan","0","ABSENT","1","5","37202","LIPMAN","Jina Anjali","AJP","Animal Justice Party","N","Transfer Count","4"
"QLD","177","Ryan","0","ABSENT","1","5","37202","LIPMAN","Jina Anjali","AJP","Animal Justice Party","N","Transfer Percent","22.220"
"QLD","177","Ryan","0","ABSENT","1","6","37370","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Count","1327"
"QLD","177","Ryan","0","ABSENT","1","6","37370","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Preference Percent","35.330"
"QLD","177","Ryan","0","ABSENT","1","6","37370","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Count","0"
"QLD","177","Ryan","0","ABSENT","1","6","37370","WATSON-BROWN","Elizabeth","GRN","Queensland Greens","Y","Transfer Percent","0.000"
"QLD","177","Ryan","0","ABSENT","1","7","37271","COSSAR","Peter Andrew John","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","869"
"QLD","177","Ryan","0","ABSENT","1","7","37271","COSSAR","Peter Andrew John","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","23.140"
"QLD","177","Ryan","0","ABSENT","1","7","37271","COSSAR","Peter Andrew John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","4"
"QLD","177","Ryan","0","ABSENT","1","7","37271","COSSAR","Peter Andrew John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","22.220"
"QLD","177","Ryan","0","ABSENT","1","8","37496","SIMMONDS","Julian Graham John","LNP","Liberal National Party of Queensland","N","Preference Count","1017"
"QLD","177","Ryan","0","ABSENT","1","8","37496","SIMMONDS","Julian Graham John","LNP","Liberal National Party of Queensland","N","Preference Percent","27.080"
"QLD","177","Ryan","0","ABSENT","1","8","37496","SIMMONDS","Julian Graham John","LNP","Liberal National Party of Queensland","N","Transfer Count","4"
"QLD","177","Ryan","0","ABSENT","1","8","37496","SIMMONDS","Julian Graham John","LNP","Liberal National Party of Queensland","N","Transfer Percent","22.220"
"QLD","177","Ryan","0","ABSENT","1","9","37767","DANCOISNE","Axel Pierre","CYA","Australian Federation Party","N","Preference Count","0"
