DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Bean,0,1,CONWAY,Sean,UAPP,United Australia Party,N,2831,2.88,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,2680,2.72,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,3,SMITH,David,ALP,Australian Labor Party,Y,41060,41.73,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,4,CHRISTIE,Jamie,IND,Independent,N,8023,8.15,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,5,SAVERY,Kathryn Jane,GRN,The Greens,N,14559,14.8,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,6,HIATT,Jane,LP,Liberal,N,29241,29.72,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,0,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bean,1,1,CONWAY,Sean,UAPP,United Australia Party,N,4226,4.29,1395,52.05,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,0,0,-2680,-100,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,3,SMITH,David,ALP,Australian Labor Party,Y,41345,42.02,285,10.63,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,4,CHRISTIE,Jamie,IND,Independent,N,8448,8.59,425,15.86,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,5,SAVERY,Kathryn Jane,GRN,The Greens,N,14668,14.91,109,4.07,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,6,HIATT,Jane,LP,Liberal,N,29707,30.19,466,17.39,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,1,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation
Bean,2,1,CONWAY,Sean,UAPP,United Australia Party,N,0,0,-4226,-100,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,3,SMITH,David,ALP,Australian Labor Party,Y,42328,43.02,983,23.26,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,4,CHRISTIE,Jamie,IND,Independent,N,10061,10.23,1613,38.17,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,5,SAVERY,Kathryn Jane,GRN,The Greens,N,14930,15.17,262,6.2,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,6,HIATT,Jane,LP,Liberal,N,31075,31.58,1368,32.37,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,2,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,1,CONWAY,Sean,UAPP,United Australia Party
Bean,3,1,CONWAY,Sean,UAPP,United Australia Party,N,0,0,0,0,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,3,SMITH,David,ALP,Australian Labor Party,Y,45720,46.47,3392,33.71,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,4,CHRISTIE,Jamie,IND,Independent,N,0,0,-10061,-100,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,5,SAVERY,Kathryn Jane,GRN,The Greens,N,18911,19.22,3981,39.57,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,6,HIATT,Jane,LP,Liberal,N,33763,34.31,2688,26.72,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,3,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,4,CHRISTIE,Jamie,IND,Independent
Bean,4,1,CONWAY,Sean,UAPP,United Australia Party,N,0,0,0,0,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,2,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,3,SMITH,David,ALP,Australian Labor Party,Y,61935,62.95,16215,85.74,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,4,CHRISTIE,Jamie,IND,Independent,N,0,0,0,0,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,5,SAVERY,Kathryn Jane,GRN,The Greens,N,0,0,-18911,-100,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,6,HIATT,Jane,LP,Liberal,N,36459,37.05,2696,14.26,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Bean,4,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,5,SAVERY,Kathryn Jane,GRN,The Greens
Canberra,0,1,SMITH,Catherine,UAPP,United Australia Party,N,1687,1.83,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,2,MILES,James,ON,Pauline Hanson's One Nation,N,1531,1.66,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,3,BOHM,Tim,IND,Independent,N,4772,5.17,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,4,MINSON,Slade,LP,Liberal,N,20102,21.77,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,5,HOLLO,Tim,GRN,The Greens,N,22795,24.69,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,6,PAYNE,Alicia,ALP,Australian Labor Party,Y,41435,44.88,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,0,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Canberra,1,1,SMITH,Catherine,UAPP,United Australia Party,N,2546,2.76,859,56.11,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,2,MILES,James,ON,Pauline Hanson's One Nation,N,0,0,-1531,-100,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,3,BOHM,Tim,IND,Independent,N,4977,5.39,205,13.39,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,4,MINSON,Slade,LP,Liberal,N,20405,22.1,303,19.79,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,5,HOLLO,Tim,GRN,The Greens,N,22861,24.76,66,4.31,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,6,PAYNE,Alicia,ALP,Australian Labor Party,Y,41533,44.99,98,6.4,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,1,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,2,MILES,James,ON,Pauline Hanson's One Nation
Canberra,2,1,SMITH,Catherine,UAPP,United Australia Party,N,0,0,-2546,-100,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,2,MILES,James,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,3,BOHM,Tim,IND,Independent,N,6276,6.8,1299,51.02,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,4,MINSON,Slade,LP,Liberal,N,21250,23.02,845,33.19,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,5,HOLLO,Tim,GRN,The Greens,N,23030,24.95,169,6.64,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,6,PAYNE,Alicia,ALP,Australian Labor Party,Y,41766,45.24,233,9.15,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,2,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,1,SMITH,Catherine,UAPP,United Australia Party
Canberra,3,1,SMITH,Catherine,UAPP,United Australia Party,N,0,0,0,0,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,2,MILES,James,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,3,BOHM,Tim,IND,Independent,N,0,0,-6276,-100,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,4,MINSON,Slade,LP,Liberal,N,23390,25.34,2140,34.1,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,5,HOLLO,Tim,GRN,The Greens,N,25423,27.54,2393,38.13,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,6,PAYNE,Alicia,ALP,Australian Labor Party,Y,43509,47.13,1743,27.77,ALP,3,BOHM,Tim,IND,Independent
Canberra,3,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,3,BOHM,Tim,IND,Independent
Canberra,4,1,SMITH,Catherine,UAPP,United Australia Party,N,0,0,0,0,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,2,MILES,James,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,3,BOHM,Tim,IND,Independent,N,0,0,0,0,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,4,MINSON,Slade,LP,Liberal,N,0,0,-23390,-100,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,5,HOLLO,Tim,GRN,The Greens,N,34901,37.8,9478,40.52,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,6,PAYNE,Alicia,ALP,Australian Labor Party,Y,57421,62.2,13912,59.48,ALP,4,MINSON,Slade,LP,Liberal
Canberra,4,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,4,MINSON,Slade,LP,Liberal
Fenner,0,1,LEIGH,Andrew,ALP,Australian Labor Party,Y,44100,48.31,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,2,KUSTER,Nathan,LP,Liberal,N,25416,27.84,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,3,ELTON,Timothy Peter,UAPP,United Australia Party,N,2346,2.57,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,4,GRANT,Lucia,ON,Pauline Hanson's One Nation,N,2419,2.65,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,5,SOJIC,Natasa,GRN,The Greens,N,15294,16.75,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,6,JAKEMAN,Guy,LDP,Liberal Democrats,N,1706,1.87,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,0,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Fenner,1,1,LEIGH,Andrew,ALP,Australian Labor Party,Y,44355,48.59,255,14.95,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,2,KUSTER,Nathan,LP,Liberal,N,26104,28.6,688,40.33,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,3,ELTON,Timothy Peter,UAPP,United Australia Party,N,2584,2.83,238,13.95,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,4,GRANT,Lucia,ON,Pauline Hanson's One Nation,N,2692,2.95,273,16,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,5,SOJIC,Natasa,GRN,The Greens,N,15546,17.03,252,14.77,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,6,JAKEMAN,Guy,LDP,Liberal Democrats,N,0,0,-1706,-100,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,1,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,6,JAKEMAN,Guy,LDP,Liberal Democrats
Fenner,2,1,LEIGH,Andrew,ALP,Australian Labor Party,Y,44706,48.98,351,13.58,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,2,KUSTER,Nathan,LP,Liberal,N,26585,29.12,481,18.61,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,3,ELTON,Timothy Peter,UAPP,United Australia Party,N,0,0,-2584,-100,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,4,GRANT,Lucia,ON,Pauline Hanson's One Nation,N,4126,4.52,1434,55.5,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,5,SOJIC,Natasa,GRN,The Greens,N,15864,17.38,318,12.31,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,6,JAKEMAN,Guy,LDP,Liberal Democrats,N,0,0,0,0,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,2,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,3,ELTON,Timothy Peter,UAPP,United Australia Party
Fenner,3,1,LEIGH,Andrew,ALP,Australian Labor Party,Y,45529,49.88,823,19.95,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,2,KUSTER,Nathan,LP,Liberal,N,28813,31.57,2228,54,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,3,ELTON,Timothy Peter,UAPP,United Australia Party,N,0,0,0,0,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,4,GRANT,Lucia,ON,Pauline Hanson's One Nation,N,0,0,-4126,-100,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,5,SOJIC,Natasa,GRN,The Greens,N,16939,18.56,1075,26.05,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,6,JAKEMAN,Guy,LDP,Liberal Democrats,N,0,0,0,0,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,3,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,4,GRANT,Lucia,ON,Pauline Hanson's One Nation
Fenner,4,1,LEIGH,Andrew,ALP,Australian Labor Party,Y,59966,65.69,14437,85.23,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,2,KUSTER,Nathan,LP,Liberal,N,31315,34.31,2502,14.77,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,3,ELTON,Timothy Peter,UAPP,United Australia Party,N,0,0,0,0,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,4,GRANT,Lucia,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,5,SOJIC,Natasa,GRN,The Greens,N,0,0,-16939,-100,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,6,JAKEMAN,Guy,LDP,Liberal Democrats,N,0,0,0,0,ALP,5,SOJIC,Natasa,GRN,The Greens
Fenner,4,7,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,5,SOJIC,Natasa,GRN,The Greens
Banks,0,1,COLEMAN,David,LP,Liberal,Y,41622,45.22,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,1264,1.37,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,5048,5.48,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,4,HANNA,Natalie,GRN,The Greens,N,8063,8.76,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,5,KHOUW,Steve,IND,Independent,N,961,1.04,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,2628,2.86,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,7,SOON,Zhi,ALP,Labor,N,32459,35.26,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,0,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,First Pref,First Pref,First Pref,First Pref,First Pref
Banks,1,1,COLEMAN,David,LP,Liberal,Y,41754,45.36,132,13.74,LP,5,KHOUW,Steve,IND,Independent
Banks,1,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,1411,1.53,147,15.3,LP,5,KHOUW,Steve,IND,Independent
Banks,1,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,5166,5.61,118,12.28,LP,5,KHOUW,Steve,IND,Independent
Banks,1,4,HANNA,Natalie,GRN,The Greens,N,8294,9.01,231,24.04,LP,5,KHOUW,Steve,IND,Independent
Banks,1,5,KHOUW,Steve,IND,Independent,N,0,0,-961,-100,LP,5,KHOUW,Steve,IND,Independent
Banks,1,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,2742,2.98,114,11.86,LP,5,KHOUW,Steve,IND,Independent
Banks,1,7,SOON,Zhi,ALP,Labor,N,32678,35.5,219,22.79,LP,5,KHOUW,Steve,IND,Independent
Banks,1,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,5,KHOUW,Steve,IND,Independent
Banks,2,1,COLEMAN,David,LP,Liberal,Y,42198,45.84,444,31.47,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,0,0,-1411,-100,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,5724,6.22,558,39.55,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,4,HANNA,Natalie,GRN,The Greens,N,8386,9.11,92,6.52,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,5,KHOUW,Steve,IND,Independent,N,0,0,0,0,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,2943,3.2,201,14.25,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,7,SOON,Zhi,ALP,Labor,N,32794,35.63,116,8.22,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,2,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,2,COCKER,Elouise Ivy,LDP,Liberal Democrats
Banks,3,1,COLEMAN,David,LP,Liberal,Y,42720,46.41,522,17.74,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,0,0,0,0,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,7530,8.18,1806,61.37,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,4,HANNA,Natalie,GRN,The Greens,N,8635,9.38,249,8.46,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,5,KHOUW,Steve,IND,Independent,N,0,0,0,0,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,0,0,-2943,-100,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,7,SOON,Zhi,ALP,Labor,N,33160,36.03,366,12.44,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,3,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation
Banks,4,1,COLEMAN,David,LP,Liberal,Y,46678,50.71,3958,52.56,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,0,0,0,0,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,0,0,-7530,-100,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,4,HANNA,Natalie,GRN,The Greens,N,10318,11.21,1683,22.35,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,5,KHOUW,Steve,IND,Independent,N,0,0,0,0,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,0,0,0,0,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,7,SOON,Zhi,ALP,Labor,N,35049,38.08,1889,25.09,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,4,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party
Banks,5,1,COLEMAN,David,LP,Liberal,Y,48969,53.2,2291,22.2,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,2,COCKER,Elouise Ivy,LDP,Liberal Democrats,N,0,0,0,0,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,3,MOMIRCEVSKI,Marika,UAPP,United Australia Party,N,0,0,0,0,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,4,HANNA,Natalie,GRN,The Greens,N,0,0,-10318,-100,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,5,KHOUW,Steve,IND,Independent,N,0,0,0,0,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,6,HEFFERNAN,Malcolm Phillip,ON,Pauline Hanson's One Nation,N,0,0,0,0,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,7,SOON,Zhi,ALP,Labor,N,43076,46.8,8027,77.8,LP,4,HANNA,Natalie,GRN,The Greens
Banks,5,8,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,LP,4,HANNA,Natalie,GRN,The Greens
Barton,0,1,BURNEY,Linda,ALP,Labor,Y,46206,50.43,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,0,2,HONOS,Dimitri,UAPP,United Australia Party,N,5611,6.12,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,0,3,VANDIJK,Taylor,GRN,The Greens,N,11441,12.49,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,0,4,GOODY,John,LP,Liberal,N,23992,26.19,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,0,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation,N,4373,4.77,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,0,6,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barton,1,1,BURNEY,Linda,ALP,Labor,Y,46618,50.88,412,9.42,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,1,2,HONOS,Dimitri,UAPP,United Australia Party,N,8461,9.23,2850,65.17,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,1,3,VANDIJK,Taylor,GRN,The Greens,N,11755,12.83,314,7.18,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,1,4,GOODY,John,LP,Liberal,N,24789,27.06,797,18.23,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,1,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation,N,0,0,-4373,-100,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,1,6,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation
Barton,2,1,BURNEY,Linda,ALP,Labor,Y,48772,53.23,2154,25.46,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,2,2,HONOS,Dimitri,UAPP,United Australia Party,N,0,0,-8461,-100,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,2,3,VANDIJK,Taylor,GRN,The Greens,N,13688,14.94,1933,22.85,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,2,4,GOODY,John,LP,Liberal,N,29163,31.83,4374,51.7,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,2,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,2,6,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,2,HONOS,Dimitri,UAPP,United Australia Party
Barton,3,1,BURNEY,Linda,ALP,Labor,Y,60054,65.54,11282,82.42,ALP,3,VANDIJK,Taylor,GRN,The Greens
Barton,3,2,HONOS,Dimitri,UAPP,United Australia Party,N,0,0,0,0,ALP,3,VANDIJK,Taylor,GRN,The Greens
Barton,3,3,VANDIJK,Taylor,GRN,The Greens,N,0,0,-13688,-100,ALP,3,VANDIJK,Taylor,GRN,The Greens
Barton,3,4,GOODY,John,LP,Liberal,N,31569,34.46,2406,17.58,ALP,3,VANDIJK,Taylor,GRN,The Greens
Barton,3,5,POLLARD,Phillip,ON,Pauline Hanson's One Nation,N,0,0,0,0,ALP,3,VANDIJK,Taylor,GRN,The Greens
Barton,3,6,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,3,VANDIJK,Taylor,GRN,The Greens
Bennelong,0,1,AUGUST,John,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",N,2125,2.13,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,2,ADAMS,Tony,GRN,The Greens,N,11395,11.44,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,3,CAMERON,Dougal,LDP,Liberal Democrats,N,1539,1.54,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,4,KENNEDY,Simon,LP,Liberal,N,41206,41.35,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,5,COLLYER,Rhys Ian,UAPP,United Australia Party,N,2915,2.93,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,6,WATERSON,Victor,ON,Pauline Hanson's One Nation,N,1664,1.67,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,7,LAXALE,Jerome,ALP,Labor,Y,37596,37.73,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,8,DHONGDUE,Kyinzom,DPDA,Democratic Alliance,N,1208,1.21,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,0,9,Exhausted,Exhausted,Exhuasted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bennelong,1,1,AUGUST,John,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",N,2327,2.34,202,16.72,ALP,8,DHONGDUE,Kyinzom,DPDA,Democratic Alliance
Bennelong,1,2,ADAMS,Tony,GRN,The Greens,N,11655,11.7,260,21.52,ALP,8,DHONGDUE,Kyinzom,DPDA,Democratic Alliance
